county_NM,trip
Appling County,1565063
Atkinson County,593105
Bacon County,1055476
Baker County,158791
Baldwin County,5075219
Banks County,2456632
Barrow County,7844968
Bartow County,10912352
Ben Hill County,1303544
Berrien County,1513257
Bibb County,15597129
Bleckley County,1057888
Brantley County,1334903
Brooks County,1085705
Bryan County,3169106
Bulloch County,7490569
Burke County,1708845
Butts County,2228323
Calhoun County,455547
Camden County,3316607
Candler County,940493
Carroll County,11425268
Catoosa County,5702471
Charlton County,578016
Chatham County,23637630
Chattahoochee County,1405038
Chattooga County,1981468
Cherokee County,26103099
Clarke County,16113491
Clay County,214651
Clayton County,28126621
Clinch County,602939
Cobb County,78814417
Coffee County,4051300
Colquitt County,3374963
Columbia County,14663583
Cook County,1582448
Coweta County,14499063
Crawford County,797004
Crisp County,2151241
Dade County,1011697
Dawson County,3900187
DeKalb County,70099689
Decatur County,2368514
Dodge County,1698883
Dooly County,1123602
Dougherty County,9217176
Douglas County,14045243
Early County,902181
Echols County,241291
Effingham County,4353682
Elbert County,1786090
Emanuel County,1898809
Evans County,833878
Fannin County,2341304
Fayette County,13361676
Floyd County,10279431
Forsyth County,29499864
Franklin County,2696623
Fulton County,124717823
Gilmer County,2766319
Glascock County,193738
Glynn County,6952646
Gordon County,6048056
Grady County,1673724
Greene County,1746497
Gwinnett County,87958527
Habersham County,4369050
Hall County,20934528
Hancock County,681310
Haralson County,2671866
Harris County,3016458
Hart County,2626698
Heard County,868695
Henry County,19896638
Houston County,14277949
Irwin County,862631
Jackson County,7800855
Jasper County,1129411
Jeff Davis County,1587525
Jefferson County,1106215
Jenkins County,637608
Johnson County,578083
Jones County,2563454
Lamar County,1739602
Lanier County,763189
Laurens County,4478748
Lee County,3360858
Liberty County,4943628
Lincoln County,503753
Long County,1136127
Lowndes County,11755724
Lumpkin County,2996765
Macon County,1112532
Madison County,2341660
Marion County,529468
McDuffie County,1566682
McIntosh County,806177
Meriwether County,1613779
Miller County,538196
Mitchell County,2002273
Monroe County,2704617
Montgomery County,694452
Morgan County,2193961
Murray County,3129516
Muscogee County,18322728
Newton County,8969921
Oconee County,6837575
Oglethorpe County,1023424
Paulding County,14593376
Peach County,2687106
Pickens County,3148330
Pierce County,1938157
Pike County,1779617
Polk County,3572329
Pulaski County,923793
Putnam County,2140627
Quitman County,105389
Rabun County,1127303
Randolph County,436818
Richmond County,18154022
Rockdale County,8973287
Schley County,491720
Screven County,852076
Seminole County,657206
Spalding County,6445236
Stephens County,2561981
Stewart County,328104
Sumter County,2782398
Talbot County,382156
Taliaferro County,82343
Tattnall County,2082855
Taylor County,716568
Telfair County,1283849
Terrell County,684791
Thomas County,4035404
Tift County,4661869
Toombs County,2782511
Towns County,852059
Treutlen County,467727
Troup County,6358260
Turner County,727768
Twiggs County,666500
Union County,2005312
Upson County,2230182
Walker County,4909490
Walton County,9281036
Ware County,3812522
Warren County,397352
Washington County,1663209
Wayne County,2484934
Webster County,157752
Wheeler County,481670
White County,3009482
Whitfield County,10368909
Wilcox County,522616
Wilkes County,649320
Wilkinson County,664413
Worth County,1612227
