county,name,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu,registed_car,2020_car,2021_car,2022_car,2023_car,2024_car,2025_car
"""13001""","""Appling""","""""",14.0,18440.0,6656.0,325294.77,61,75,42,25,31,16,36,44,26,9.92,0.54,1.98,2,2,23760,22830,24921,0,0,0,14710,14094,16330,11238,10758,12690,3466,3330,3634,6,6,6,7,7,7,1.8,0.7,0.16,0.02,1521,58,1658,87,162,6,3764,832,944,402,82,18,13178.88,13462.047827027027,13751.29993574288,14046.76705598384,14348.582726511064,14656.883355364476,14971.808281513526
"""13003""","""Atkinson""","""Douglas, GA""",6.0,8239.0,2880.0,219339.49,63,76,43,24,30,15,39,46,27,11.26,0.17,2.07,2,2,26779,25764,27876,0,0,0,15643,15015,17248,11731,11251,13177,3906,3758,4065,5,5,5,7,6,7,1.6,0.3,0.41,0.01,1395,52,1317,88,355,5,4180,807,933,469,78,22,5961.599999999999,6089.693837837837,6220.539962191381,6354.197510027655,6490.7268889593315,6630.18980454643,6772.649288184659
"""13005""","""Bacon""","""""",9.0,11201.0,3874.0,181814.08,65,79,42,27,33,16,38,46,26,9.7,0.58,1.94,2,2,23048,22029,24514,0,0,0,14359,13721,16171,10991,10502,12591,3362,3214,3575,6,5,6,7,7,7,2.2,0.6,0.14,0.02,1460,56,1450,87,157,7,3753,837,937,556,78,22,7515.5599999999995,7677.042978378378,7841.9956585894815,8010.492592334851,8182.609933170154,8358.425470923405,8538.018666852706
"""13007""","""Baker""","""""",4.0,3132.0,1425.0,218852.34,68,82,40,26,33,14,41,49,26,9.33,0.07,1.81,2,2,22489,21657,26098,0,0,0,13564,12924,16511,10279,9760,12700,3281,3159,3806,5,4,5,6,6,7,1.3,0.3,0.17,0.01,1251,60,1046,88,305,5,4726,723,828,516,74,26,2579.25,2634.6690202702703,2691.2788005706725,2749.104926150502,2808.173531996168,2868.511314643113,2930.1455442415263
"""13009""","""Baldwin""","""Milledgeville, GA""",31.0,45111.0,16191.0,165072.0,60,73,42,28,35,19,32,38,24,8.35,3.09,1.79,2,2,20215,19486,21781,0,0,0,13143,12624,14785,10186,9773,11601,2949,2843,3176,8,8,8,10,10,10,1.7,2.2,0.49,0.1,3464,59,3849,85,113,15,4106,969,1031,671,67,33,28981.89,29604.60898783784,30240.708018792735,30890.47458298031,31554.202347668674,32232.191290003717,32924.74783258623
"""13011""","""Banks""","""""",7.0,18708.0,6740.0,148526.11,62,75,48,28,35,22,34,39,27,10.61,0.5,2.1,2,2,25465,24626,25793,0,0,0,16259,15028,16714,12537,11428,12945,3714,3593,3761,8,8,8,10,10,10,1.5,0.9,0.16,0.05,3295,68,3337,86,171,8,3197,1126,1238,768,79,21,14154.0,14458.119729729731,14768.773923922574,15086.10298526091,15410.250333187463,15741.36246872487,16079.589040688015
"""13013""","""Barrow""","""Atlanta-Sandy Springs-Alpharetta, GA""",34.0,78991.0,26305.0,103067.51,45,55,48,20,25,22,24,30,26,10.48,3.58,2.19,2,2,24847,24294,24356,1,1,1,16725,16299,16432,13089,12744,12869,3624,3543,3552,12,12,11,15,15,14,1.5,2.4,0.53,0.26,6541,83,6584,84,85,20,2521,1150,1169,959,78,22,57607.95,58845.74243918919,60110.1306888961,61401.686199644,62720.99270042014,64068.64646249674,65445.25656892066
"""13015""","""Bartow""","""Atlanta-Sandy Springs-Alpharetta, GA""",49.0,104919.0,37627.0,294056.75,44,54,47,21,26,22,23,28,25,9.29,3.48,2.07,2,2,23229,22659,22723,1,1,1,15794,15347,15497,12396,12032,12173,3388,3304,3314,11,11,11,14,14,13,1.5,2.2,0.5,0.13,5935,72,6868,85,82,23,2761,1174,1263,879,69,31,77887.89,79561.42709594595,81270.92262408858,83017.14920479535,84800.89605933083,86622.96936655158,88484.19262726534
"""13017""","""Ben Hill""","""Fitzgerald, GA""",15.0,17033.0,6443.0,160077.72,68,82,38,28,35,14,40,47,24,7.62,1.86,1.75,2,2,19415,18250,22009,0,0,0,12798,12168,15069,9960,9500,11854,2832,2662,3210,6,6,5,7,7,7,2.0,0.5,0.57,0.04,2287,65,1855,87,88,9,3586,755,780,603,66,34,11275.25,11517.515506756758,11764.986448050586,12017.774670380322,12275.994423433089,12539.762411720369,12809.19784732355
"""13019""","""Berrien""","""""",15.0,19152.0,7367.0,290160.0,60,73,41,23,29,15,36,43,26,9.93,0.63,1.96,2,2,23990,23013,25647,0,0,0,14602,13976,16381,11097,10614,12636,3500,3357,3740,5,5,5,6,6,7,1.2,0.3,0.37,0.03,1702,61,1377,88,236,6,4385,789,841,624,70,30,14439.32,14749.570254054055,15066.48669599927,15390.212558791689,15720.894152960322,16058.680932733389,16403.725563585365
"""13021""","""Bibb""","""Macon-Bibb County, GA""",126.0,153200.0,58116.0,159905.57,56,69,42,27,34,19,29,34,22,7.63,6.53,1.74,2,2,19217,18805,19838,1,1,1,12704,12205,14011,9883,9443,11101,2803,2743,2893,18,19,17,22,23,21,2.5,3.5,1.73,0.36,7345,66,9335,83,51,38,2552,1014,1093,762,61,39,101121.84,103294.59304864865,105514.03092631557,107781.15672594857,110096.99509343856,112462.5926907165,114879.01866880083
"""13023""","""Bleckley""","""""",8.0,12807.0,4176.0,138158.0,55,66,43,23,28,17,33,38,26,10.15,0.9,2.04,2,2,24679,23881,25145,0,0,0,15837,14624,16361,12232,11134,12688,3599,3484,3667,6,6,6,8,8,8,1.4,0.7,0.47,0.03,1900,69,1601,87,199,7,3626,908,1016,478,80,20,8519.04,8702.084237837838,8889.06145321841,9080.056152010535,9275.154655817249,9474.44514098954,9678.017678478369
"""13025""","""Brantley""","""Brunswick, GA""",9.0,18756.0,6823.0,283664.0,54,65,45,23,28,18,31,36,26,10.41,0.37,2.05,2,2,24846,24223,25963,0,0,0,15885,14718,16598,12256,11178,12805,3623,3534,3786,6,6,7,8,8,9,2.3,0.6,0.2,0.02,1817,47,1283,87,239,7,4184,961,1040,567,83,17,13987.15,14287.68470945946,14594.67685389244,14908.265180888238,15228.591419234352,15555.800342971956,15890.039836827706
"""13027""","""Brooks""","""Valdosta, GA""",15.0,15590.0,6335.0,315637.42,64,78,45,28,36,19,36,43,26,9.68,0.85,1.98,2,2,24629,23767,25698,0,0,0,14855,14225,16454,11256,10752,12700,3593,3467,3748,6,6,6,8,7,8,0.9,0.7,0.28,0.02,1722,64,1474,87,294,4,5138,989,1123,703,79,21,12543.3,12812.811445945947,13088.113745933164,13369.331325068755,13656.591281918207,13950.023445948613,14249.760436206157
