county,name,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""13001""","""Appling""","""""",14.00,18440.00,6656.00,325294.77,61,75,42,25,31,16,36,44,26,9.92,0.54,1.98,2,2,23760,22830,24921,0,0,0,14710,14094,16330,11238,10758,12690,3466,3330,3634,6,6,6,7,7,7,1.8,0.7,0.16,0.02,1521,58,1658,87,162,6,3764,832,944,402,82,18
"""13003""","""Atkinson""","""Douglas, GA""",6.00,8239.00,2880.00,219339.49,63,76,43,24,30,15,39,46,27,11.26,0.17,2.07,2,2,26779,25764,27876,0,0,0,15643,15015,17248,11731,11251,13177,3906,3758,4065,5,5,5,7,6,7,1.6,0.3,0.41,0.01,1395,52,1317,88,355,5,4180,807,933,469,78,22
"""13005""","""Bacon""","""""",9.00,11201.00,3874.00,181814.08,65,79,42,27,33,16,38,46,26,9.70,0.58,1.94,2,2,23048,22029,24514,0,0,0,14359,13721,16171,10991,10502,12591,3362,3214,3575,6,5,6,7,7,7,2.2,0.6,0.14,0.02,1460,56,1450,87,157,7,3753,837,937,556,78,22
"""13007""","""Baker""","""""",4.00,3132.00,1425.00,218852.34,68,82,40,26,33,14,41,49,26,9.33,0.07,1.81,2,2,22489,21657,26098,0,0,0,13564,12924,16511,10279,9760,12700,3281,3159,3806,5,4,5,6,6,7,1.3,0.3,0.17,0.01,1251,60,1046,88,305,5,4726,723,828,516,74,26
"""13009""","""Baldwin""","""Milledgeville, GA""",31.00,45111.00,16191.00,165072.00,60,73,42,28,35,19,32,38,24,8.35,3.09,1.79,2,2,20215,19486,21781,0,0,0,13143,12624,14785,10186,9773,11601,2949,2843,3176,8,8,8,10,10,10,1.7,2.2,0.49,0.10,3464,59,3849,85,113,15,4106,969,1031,671,67,33
"""13011""","""Banks""","""""",7.00,18708.00,6740.00,148526.11,62,75,48,28,35,22,34,39,27,10.61,0.50,2.10,2,2,25465,24626,25793,0,0,0,16259,15028,16714,12537,11428,12945,3714,3593,3761,8,8,8,10,10,10,1.5,0.9,0.16,0.05,3295,68,3337,86,171,8,3197,1126,1238,768,79,21
"""13013""","""Barrow""","""Atlanta-Sandy Springs-Alpharetta, GA""",34.00,78991.00,26305.00,103067.51,45,55,48,20,25,22,24,30,26,10.48,3.58,2.19,2,2,24847,24294,24356,1,1,1,16725,16299,16432,13089,12744,12869,3624,3543,3552,12,12,11,15,15,14,1.5,2.4,0.53,0.26,6541,83,6584,84,85,20,2521,1150,1169,959,78,22
"""13015""","""Bartow""","""Atlanta-Sandy Springs-Alpharetta, GA""",49.00,104919.00,37627.00,294056.75,44,54,47,21,26,22,23,28,25,9.29,3.48,2.07,2,2,23229,22659,22723,1,1,1,15794,15347,15497,12396,12032,12173,3388,3304,3314,11,11,11,14,14,13,1.5,2.2,0.50,0.13,5935,72,6868,85,82,23,2761,1174,1263,879,69,31
"""13017""","""Ben Hill""","""Fitzgerald, GA""",15.00,17033.00,6443.00,160077.72,68,82,38,28,35,14,40,47,24,7.62,1.86,1.75,2,2,19415,18250,22009,0,0,0,12798,12168,15069,9960,9500,11854,2832,2662,3210,6,6,5,7,7,7,2.0,0.5,0.57,0.04,2287,65,1855,87,88,9,3586,755,780,603,66,34
"""13019""","""Berrien""","""""",15.00,19152.00,7367.00,290160.00,60,73,41,23,29,15,36,43,26,9.93,0.63,1.96,2,2,23990,23013,25647,0,0,0,14602,13976,16381,11097,10614,12636,3500,3357,3740,5,5,5,6,6,7,1.2,0.3,0.37,0.03,1702,61,1377,88,236,6,4385,789,841,624,70,30
"""13021""","""Bibb""","""Macon-Bibb County, GA""",126.00,153200.00,58116.00,159905.57,56,69,42,27,34,19,29,34,22,7.63,6.53,1.74,2,2,19217,18805,19838,1,1,1,12704,12205,14011,9883,9443,11101,2803,2743,2893,18,19,17,22,23,21,2.5,3.5,1.73,0.36,7345,66,9335,83,51,38,2552,1014,1093,762,61,39
"""13023""","""Bleckley""","""""",8.00,12807.00,4176.00,138158.00,55,66,43,23,28,17,33,38,26,10.15,0.90,2.04,2,2,24679,23881,25145,0,0,0,15837,14624,16361,12232,11134,12688,3599,3484,3667,6,6,6,8,8,8,1.4,0.7,0.47,0.03,1900,69,1601,87,199,7,3626,908,1016,478,80,20
"""13025""","""Brantley""","""Brunswick, GA""",9.00,18756.00,6823.00,283664.00,54,65,45,23,28,18,31,36,26,10.41,0.37,2.05,2,2,24846,24223,25963,0,0,0,15885,14718,16598,12256,11178,12805,3623,3534,3786,6,6,7,8,8,9,2.3,0.6,0.20,0.02,1817,47,1283,87,239,7,4184,961,1040,567,83,17
"""13027""","""Brooks""","""Valdosta, GA""",15.00,15590.00,6335.00,315637.42,64,78,45,28,36,19,36,43,26,9.68,0.85,1.98,2,2,24629,23767,25698,0,0,0,14855,14225,16454,11256,10752,12700,3593,3467,3748,6,6,6,8,7,8,0.9,0.7,0.28,0.02,1722,64,1474,87,294,4,5138,989,1123,703,79,21
"""13029""","""Bryan""","""Savannah, GA""",14.00,37063.00,13048.00,280029.99,58,71,55,31,39,29,27,33,26,10.13,1.80,2.07,2,2,24430,23823,24562,0,0,0,15976,15516,16081,12405,12034,12492,3563,3474,3582,8,8,8,10,10,10,1.2,2.4,0.31,0.05,3199,75,2745,84,112,6,4220,1538,1580,1376,73,27
"""13031""","""Bulloch""","""Statesboro, GA""",42.00,76120.00,27375.00,432608.02,55,68,42,26,33,19,29,35,23,8.56,3.64,1.82,2,2,20852,20153,22071,0,0,0,13360,12869,14724,10310,9921,11498,3042,2940,3219,8,8,8,10,10,10,2.1,2.7,0.37,0.06,3296,56,4095,84,116,9,3399,990,976,810,60,40
"""13033""","""Burke""","""Augusta-Richmond County, GA-SC""",16.00,22520.00,8193.00,529301.49,52,62,44,22,27,18,30,35,26,10.06,0.70,2.06,2,2,25342,24622,25486,0,0,0,16046,14881,16305,12344,11282,12582,3696,3592,3717,7,6,6,8,8,8,1.6,0.8,0.32,0.02,1908,55,2904,87,251,3,4379,961,1063,574,75,25
"""13035""","""Butts""","""Atlanta-Sandy Springs-Alpharetta, GA""",14.00,24090.00,8279.00,117561.39,42,51,45,18,23,20,24,29,25,9.49,1.42,2.09,2,2,24265,23720,23721,0,0,0,16079,15597,15757,12531,12129,12289,3539,3459,3459,9,9,9,11,11,11,1.2,2.1,0.28,0.07,3721,75,3868,85,136,15,3261,1027,1072,711,73,27
"""13037""","""Calhoun""","""""",6.00,6365.00,1736.00,179445.55,70,84,42,28,35,15,41,49,26,9.95,0.15,1.89,2,2,23658,22598,25979,0,0,0,14175,13454,16595,10719,10153,12801,3451,3297,3789,5,5,5,6,6,6,1.1,0.2,0.48,0.01,1149,60,1048,88,276,4,4017,799,980,490,74,26
"""13039""","""Camden""","""St. Marys, GA""",24.00,53231.00,19338.00,403402.00,52,63,47,25,32,23,27,31,25,9.43,4.13,1.99,2,2,22752,22061,22907,0,0,0,15258,14184,15408,11932,10958,12060,3318,3218,3341,8,8,7,9,9,9,1.8,2.1,0.51,0.05,3326,67,2722,85,72,9,4204,1200,1244,975,67,33
"""13043""","""Candler""","""""",8.00,10812.00,4013.00,155557.75,72,88,42,32,40,17,40,47,25,8.11,0.43,1.80,2,2,21933,20838,24086,0,0,0,13437,12818,15520,10232,9773,12002,3200,3040,3513,5,5,6,7,7,7,2.2,1.0,0.23,0.03,1641,53,1509,86,153,8,3214,905,1194,508,64,36
"""13045""","""Carroll""","""Atlanta-Sandy Springs-Alpharetta, GA""",53.00,117183.00,41903.00,319377.25,42,52,45,19,23,20,23,28,25,9.55,2.89,2.09,2,2,23873,23315,23358,0,0,0,15968,15519,15669,12476,12109,12253,3482,3400,3406,10,10,10,13,13,12,1.5,2.4,0.66,0.13,4879,74,5712,84,98,15,3023,1069,1127,835,70,30
"""13047""","""Catoosa""","""Chattanooga, TN-GA""",34.00,66700.00,24778.00,103783.81,52,62,45,24,30,20,28,33,25,9.26,5.14,1.96,2,2,21558,21016,22287,1,1,1,14906,13867,15403,11749,10788,12139,3144,3066,3250,13,13,14,17,17,17,1.7,3.2,0.75,0.24,7706,73,7195,83,69,27,2717,1057,1174,625,77,23
"""13049""","""Charlton""","""""",6.00,13040.00,3675.00,499254.81,62,75,43,26,33,18,36,42,25,10.15,0.54,1.99,2,2,24712,23570,24456,0,0,0,14915,14233,15980,11303,10787,12408,3605,3438,3567,7,7,6,8,8,7,1.7,0.4,0.37,0.01,1693,49,1576,87,210,4,3526,924,1063,580,76,24
"""13051""","""Chatham""","""Savannah, GA""",204.00,288496.00,108568.00,277194.25,50,62,48,27,34,26,23,28,22,7.76,11.47,1.84,2,2,19316,19041,19376,1,2,1,13850,13385,13956,11020,10594,11118,2817,2777,2826,13,13,13,18,19,18,2.9,4.2,1.65,0.39,9585,63,14724,82,38,31,3101,1345,1405,1069,60,40
"""13053""","""Chattahoochee""","""Columbus, GA-AL""",10.00,10560.00,2570.00,159192.32,57,69,44,29,36,22,29,33,23,8.78,1.55,1.76,2,2,20744,19903,21741,0,0,0,13580,12538,14203,10549,9628,11026,3025,2904,3171,6,6,6,8,8,8,2.7,1.4,1.17,0.02,2678,36,2430,86,91,12,2564,1139,450,1017,42,58
"""13055""","""Chattooga""","""Summerville, GA""",22.00,24812.00,9260.00,200528.77,64,78,41,28,34,16,37,44,25,8.84,1.80,1.83,2,2,21306,20467,23204,0,0,0,13479,12883,15499,10364,9890,12108,3108,2986,3384,7,7,7,9,9,9,1.1,1.5,0.25,0.05,2880,66,2913,86,155,10,3895,846,953,570,72,28
"""13057""","""Cherokee""","""Atlanta-Sandy Springs-Alpharetta, GA""",85.00,247515.00,88137.00,269494.83,51,63,55,28,35,30,24,29,25,9.81,7.88,2.13,2,2,23102,22639,22662,1,1,1,16127,15708,15835,12757,12405,12529,3369,3302,3305,1,1,0,1,1,1,1.2,3.4,0.81,0.33,12019,82,12421,83,76,20,3070,1581,1647,1136,78,22
"""13059""","""Clarke""","""Athens-Clarke County, GA""",72.00,126176.00,48844.00,76302.30,52,62,40,26,33,20,26,30,20,6.28,8.09,1.62,2,2,16430,16003,17126,2,3,2,12158,11186,12839,9711,8796,10293,2396,2335,2498,51,55,48,64,69,60,3.7,4.6,1.52,0.64,10207,47,15223,81,39,40,2400,1034,1139,885,44,56
"""13061""","""Clay""","""""",3.00,2951.00,1242.00,125058.33,101,122,43,48,60,17,53,63,26,8.67,0.31,1.64,2,2,20369,19292,24679,0,0,0,11777,11163,16260,8729,8276,12655,3043,2882,3599,5,5,6,6,6,8,1.2,0.5,0.23,0.01,1420,58,1087,87,242,5,4292,890,1050,371,84,16
"""13063""","""Clayton""","""Atlanta-Sandy Springs-Alpharetta, GA""",126.00,283538.00,94279.00,90647.72,40,49,43,19,24,21,21,25,22,7.83,12.78,1.93,2,2,19180,18923,18855,2,2,2,14358,13921,14077,11517,11116,11284,2797,2760,2750,44,45,44,40,41,39,3.7,4.0,2.10,1.04,16784,65,20718,82,31,58,1671,1088,1044,1016,55,45
"""13065""","""Clinch""","""""",7.00,6686.00,2477.00,521596.44,82,97,41,35,44,15,48,54,26,8.72,0.47,1.77,2,2,21142,20002,24382,0,0,0,13148,11912,16168,10058,8919,12607,3084,2988,3556,5,5,5,6,6,7,1.5,0.4,0.72,0.00,1223,58,1249,87,178,5,4185,803,955,339,79,21
"""13067""","""Cobb""","""Atlanta-Sandy Springs-Alpharetta, GA""",350.00,751218.00,280374.00,217450.09,48,59,52,27,34,29,21,25,22,7.77,13.45,1.93,2,2,18763,18450,18419,2,2,2,14296,13891,14024,11533,11173,11312,2736,2691,2686,27,27,26,10,11,10,3.7,5.4,3.69,1.29,20876,66,32853,80,26,83,1505,1540,1571,1127,67,33
